# alias PD xsec nmc sumw
ZZ_pythia	ZZ_TuneCUETP8M1_13TeV-pythia8	16.523	1988098	1988098
ttWToLNu	TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	0.2043	5280565	2716249
ttWToQQ	TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	0.4062	833298	430310
ttZ	ttZJets_13TeV_madgraphMLM-pythia8	0.5407	9883364	9883364
# Non-isolated muon signal samples
# alias PD xsec nmc sumw
QCD_spn1_zmass5_Pt-20to30 QCD_spn1_zmass5_Pt-20to30 1082712.0000 1938 1938.00000
QCD_spn1_zmass5_Pt-30to50 QCD_spn1_zmass5_Pt-30to50 547667.0000 3922 3922.00000
QCD_spn1_zmass5_Pt-50to80 QCD_spn1_zmass5_Pt-50to80 137830.1000 7166 7166.00000
QCD_spn1_zmass5_Pt-80to120 QCD_spn1_zmass5_Pt-80to120 30542.7000 11093 11094.13830
QCD_spn1_zmass5_Pt-120to170 QCD_spn1_zmass5_Pt-120to170 7343.8600 15644 15644.12800
QCD_spn1_zmass5_Pt-170to300 QCD_spn1_zmass5_Pt-170to300 2513.9400 21262 21262.00000
QCD_spn1_zmass5_Pt-300to470 QCD_spn1_zmass5_Pt-300to470 235.6470 30087 30087.00000
QCD_spn1_zmass5_Pt-470to600 QCD_spn1_zmass5_Pt-470to600 24.0406 36801 36801.04400
QCD_spn1_zmass5_Pt-600to800 QCD_spn1_zmass5_Pt-600to800 7.7385 41289 41289.00000
QCD_spn1_zmass5_Pt-800to1000 QCD_spn1_zmass5_Pt-800to1000 1.4627 45218 45218.00000
QCD_spn1_zmass5_Pt-1000to9999 QCD_spn1_zmass5_Pt-1000to9999 1.6325 48563 48563.00000
QCD_spn1_zmass10_Pt-20to30 QCD_spn1_zmass10_Pt-20to30 1105113.0000 1979 1979.00000
QCD_spn1_zmass10_Pt-30to50 QCD_spn1_zmass10_Pt-30to50 532386.0000 3814 3814.01640
QCD_spn1_zmass10_Pt-50to80 QCD_spn1_zmass10_Pt-50to80 126128.8000 6550 6550.00000
QCD_spn1_zmass10_Pt-80to120 QCD_spn1_zmass10_Pt-80to120 27674.3000 10048 10048.88850
QCD_spn1_zmass10_Pt-120to170 QCD_spn1_zmass10_Pt-120to170 6617.0700 14090 14090.30300
QCD_spn1_zmass10_Pt-170to300 QCD_spn1_zmass10_Pt-170to300 2283.9700 19337 19337.00000
QCD_spn1_zmass10_Pt-300to470 QCD_spn1_zmass10_Pt-300to470 217.1450 27737 27737.00000
QCD_spn1_zmass10_Pt-470to600 QCD_spn1_zmass10_Pt-470to600 22.6305 35033 35033.06500
QCD_spn1_zmass10_Pt-600to800 QCD_spn1_zmass10_Pt-600to800 7.3430 39184 39184.00000
QCD_spn1_zmass10_Pt-800to1000 QCD_spn1_zmass10_Pt-800to1000 1.3965 43198 43198.00500
QCD_spn1_zmass10_Pt-1000to9999 QCD_spn1_zmass10_Pt-1000to9999 1.5123 46854 46854.00000
QCD_spn1_zmass20_Pt-20to30 QCD_spn1_zmass20_Pt-20to30 898386.0000 8094 8094.00000
QCD_spn1_zmass20_Pt-30to50 QCD_spn1_zmass20_Pt-30to50 441858.6667 6654 6654.00000
QCD_spn1_zmass20_Pt-50to80 QCD_spn1_zmass20_Pt-50to80 114234.8667 3426 3426.00000
QCD_spn1_zmass20_Pt-80to120 QCD_spn1_zmass20_Pt-80to120 23637.4083 2517 2517.18057
QCD_spn1_zmass20_Pt-120to170 QCD_spn1_zmass20_Pt-120to170 5913.6300 1264 1264.00000
QCD_spn1_zmass20_Pt-170to300 QCD_spn1_zmass20_Pt-170to300 2117.0900 1789 1789.00000
QCD_spn1_zmass20_Pt-300to470 QCD_spn1_zmass20_Pt-300to470 208.7224 2662 2662.00000
QCD_spn1_zmass20_Pt-470to600 QCD_spn1_zmass20_Pt-470to600 22.1697 3425 3425.00480
QCD_spn1_zmass20_Pt-600to800 QCD_spn1_zmass20_Pt-600to800 7.2702 3882 3882.00000
QCD_spn1_zmass20_Pt-800to1000 QCD_spn1_zmass20_Pt-800to1000 1.4774 4345 4345.00000
QCD_spn1_zmass20_Pt-1000to9999 QCD_spn1_zmass20_Pt-1000to9999 1.7292 4911 4911.00000
QCD_spn1_zmass50_Pt-20to30 QCD_spn1_zmass50_Pt-20to30 73831.8000 666 666.00000
QCD_spn1_zmass50_Pt-30to50 QCD_spn1_zmass50_Pt-30to50 171503.0000 2524 2524.00000
QCD_spn1_zmass50_Pt-50to80 QCD_spn1_zmass50_Pt-50to80 72927.0667 2204 2204.00000
QCD_spn1_zmass50_Pt-80to120 QCD_spn1_zmass50_Pt-80to120 18982.3750 2116 2116.17092
QCD_spn1_zmass50_Pt-120to170 QCD_spn1_zmass50_Pt-120to170 4876.4100 1037 1037.00000
QCD_spn1_zmass50_Pt-170to300 QCD_spn1_zmass50_Pt-170to300 1838.5950 1560 1560.00000
QCD_spn1_zmass50_Pt-300to470 QCD_spn1_zmass50_Pt-300to470 183.9950 2350 2350.00000
QCD_spn1_zmass50_Pt-470to600 QCD_spn1_zmass50_Pt-470to600 19.4945 3024 3024.00000
QCD_spn1_zmass50_Pt-600to800 QCD_spn1_zmass50_Pt-600to800 6.6392 3551 3551.00000
QCD_spn1_zmass50_Pt-800to1000 QCD_spn1_zmass50_Pt-800to1000 1.6489 4125 4125.00000
QCD_spn1_zmass50_Pt-1000to9999 QCD_spn1_zmass50_Pt-1000to9999 1.4876 4584 4584.00000
QCD_spn1_zmass80_Pt-20to30 QCD_spn1_zmass80_Pt-20to30 9516.3000 84 84.00000
QCD_spn1_zmass80_Pt-30to50 QCD_spn1_zmass80_Pt-30to50 21265.1667 323 323.00000
QCD_spn1_zmass80_Pt-50to80 QCD_spn1_zmass80_Pt-50to80 35036.6667 1008 1008.00000
QCD_spn1_zmass80_Pt-80to120 QCD_spn1_zmass80_Pt-80to120 13605.1000 1433 1433.24440
QCD_spn1_zmass80_Pt-120to170 QCD_spn1_zmass80_Pt-120to170 3792.3720 807 807.00000
QCD_spn1_zmass80_Pt-170to300 QCD_spn1_zmass80_Pt-170to300 1447.3470 1225 1225.00000
QCD_spn1_zmass80_Pt-300to470 QCD_spn1_zmass80_Pt-300to470 167.1516 2138 2138.00000
QCD_spn1_zmass80_Pt-470to600 QCD_spn1_zmass80_Pt-470to600 18.8448 2921 2921.00000
QCD_spn1_zmass80_Pt-600to800 QCD_spn1_zmass80_Pt-600to800 6.5192 3487 3487.00000
QCD_spn1_zmass80_Pt-800to1000 QCD_spn1_zmass80_Pt-800to1000 1.7922 4111 4111.00000
QCD_spn1_zmass80_Pt-1000to9999 QCD_spn1_zmass80_Pt-1000to9999 1.4688 4573 4573.00000

